,M001 ,,M002,,M004,,M005,,M007 ,,M008 ,,M009 ,,M010 ,,M011 ,,M015,,M016,,M018,,M020 ,,M021 ,,M024,,M025,,,,,,,
L008,345,351,163,163,343,349,240,243,288,294,360,360,402,402,292,298,305,305,300,300,413,416,211,211,325,352,349,349,360,363,235,235,,,,,,
L011,339,345,158,163,340,340,234,240,288,288,339,360,402,402,286,286,305,305,300,300,383,383,214,217,322,331,337,349,366,369,235,235,,,,,,
L017,327,357,158,158,346,349,228,231,288,309,339,360,399,402,286,292,305,305,300,300,431,431,205,217,331,343,352,364,366,369,235,253,,,,,,
L022,321,321,163,168,346,346,228,228,288,294,348,348,402,405,286,292,305,305,300,300,413,488,208,214,322,322,340,346,354,354,289,292,,,,,,
P045,339,351,163,163,343,343,243,243,294,294,345,345,405,405,292,298,305,314,297,297,413,416,220,220,298,334,337,337,351,372,280,280,,,,,,
P050,351,351,163,163,343,343,249,249,294,294,345,345,405,405,292,298,305,305,297,297,413,416,220,220,298,334,346,346,351,351,280,280,,,,,,
P052,339,339,158,158,352,352,237,237,288,288,354,354,408,408,298,298,305,305,300,300,416,416,211,211,304,337,352,364,354,354,298,298,,,,,,
P066,351,369,163,163,343,352,243,249,288,294,345,354,408,408,298,298,305,305,297,297,413,419,205,211,0,0,343,343,360,360,266,286,,,,,,
T006,351,351,158,163,343,352,240,252,279,294,345,354,405,405,286,295,305,305,297,300,410,419,220,220,298,325,0,0,360,366,235,289,,,,,,
T015,351,351,163,163,343,343,237,240,288,294,345,345,405,405,292,292,305,305,297,297,410,413,211,220,298,328,352,352,357,360,256,274,,,,,,
U006,339,345,158,163,337,337,234,234,288,288,339,348,399,405,286,286,299,305,303,303,410,413,211,211,310,310,337,337,348,348,235,256,,,,,,
U012,327,345,158,163,343,349,225,234,288,294,339,348,402,402,286,292,299,305,300,300,410,410,211,214,310,337,334,346,348,348,235,256,,,,,,
U019,339,357,158,163,337,349,234,240,288,288,348,348,402,402,292,298,299,305,300,300,407,413,211,214,337,337,340,340,348,348,235,256,,,,,,
U020,327,327,158,158,343,349,234,234,288,294,345,345,402,402,292,292,305,305,300,300,407,407,211,214,310,310,358,358,348,372,256,256,,,,,,
U026,345,351,163,163,343,349,234,243,288,288,345,351,402,402,286,286,299,305,297,303,410,410,211,211,352,352,343,349,348,348,235,235,,,,,,
